A length: 82
Fast reject!769out of 2998
Fast reject!770out of 3000
Fast reject!771out of 3008
Fast reject!772out of 3027
Fast reject!773out of 3028
Fast reject!774out of 3035
Fast reject!775out of 3036
Fast reject!776out of 3039
Fast reject!777out of 3046
Fast reject!778out of 3048
Fast reject!779out of 3056
Fast reject!780out of 3058
Fast reject!781out of 3060
Fast reject!782out of 3063
Fast reject!783out of 3080
Fast reject!784out of 3088
Fast reject!785out of 3091
Fast reject!786out of 3100
Fast reject!787out of 3101
Fast reject!788out of 3105
Fast reject!789out of 3107
Fast reject!790out of 3110
Fast reject!791out of 3112
Fast reject!792out of 3114
Fast reject!793out of 3119
Fast reject!794out of 3123
Fast reject!795out of 3124
Fast reject!796out of 3125
Fast reject!797out of 3135
Fast reject!798out of 3140
Fast reject!799out of 3141
Fast reject!800out of 3154
Fast reject!801out of 3156
Fast reject!802out of 3162
Fast reject!803out of 3163
Fast reject!804out of 3164
Fast reject!805out of 3168
Fast reject!806out of 3171
Fast reject!807out of 3172
Fast reject!808out of 3175
Fast reject!809out of 3181
Fast reject!810out of 3186
Fast reject!811out of 3187
Fast reject!812out of 3197
Fast reject!813out of 3210
Fast reject!814out of 3215
Fast reject!815out of 3223
Fast reject!816out of 3224
Fast reject!817out of 3233
Fast reject!818out of 3241
Fast reject!819out of 3250
Fast reject!820out of 3251
Fast reject!821out of 3253
Fast reject!822out of 3257
Fast reject!823out of 3261
Fast reject!824out of 3265
Fast reject!825out of 3272
Fast reject!826out of 3273
Fast reject!827out of 3277
Fast reject!828out of 3291
Fast reject!829out of 3299
Fast reject!830out of 3304
Fast reject!831out of 3306
Fast reject!832out of 3312
Fast reject!833out of 3326
Fast reject!834out of 3327
Fast reject!835out of 3333
Fast reject!836out of 3336
Fast reject!837out of 3349
Fast reject!838out of 3351
Fast reject!839out of 3367
Fast reject!840out of 3369
Fast reject!841out of 3370
Fast reject!842out of 3372
Fast reject!843out of 3374
Fast reject!844out of 3375
Fast reject!845out of 3404
Fast reject!846out of 3407
Fast reject!847out of 3408
Fast reject!848out of 3409
Fast reject!849out of 3410
Fast reject!850out of 3411
Fast reject!851out of 3415
Fast reject!852out of 3416
Fast reject!853out of 3421
Fast reject!854out of 3423
Fast reject!855out of 3424
Fast reject!856out of 3435
Fast reject!857out of 3437
Fast reject!858out of 3440
Fast reject!859out of 3443
Fast reject!860out of 3446
Fast reject!861out of 3450
Fast reject!862out of 3460
Fast reject!863out of 3463
